"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",5,1,5,3,4,3,3,5,4,1,1,3
"2",2,2,5,3,2,4,3,2,5,3,1,3
"3",2,3,2,5,1,5,3,4,5,3,3,4
"4",2,4,5,5,1,5,3,3,4,3,4,5
"5",4,2,5,3,5,1,1,1,2,5,4,3
"6",3,2,3,3,1,5,3,5,1,1,1,3
"7",4,4,1,5,1,5,3,1,5,2,2,4
"8",2,2,5,1,2,1,1,1,1,5,1,3
"9",1,2,5,5,1,2,3,5,4,5,1,3
"10",4,2,5,4,5,1,3,3,4,3,1,4
"11",2,2,5,4,2,2,1,5,5,5,5,3
"12",4,3,3,3,1,2,4,3,4,3,1,3
"13",2,2,3,3,1,5,1,1,5,5,4,4
"14",2,5,2,5,1,5,4,5,3,3,1,3
"15",4,4,3,5,5,3,4,1,5,2,5,5
"16",4,2,5,1,5,1,1,2,1,5,3,3
"17",4,4,3,4,2,5,3,3,4,3,1,4
"18",2,2,5,3,5,2,3,1,2,3,3,4
"19",2,4,5,3,1,2,4,5,4,5,1,1
"20",4,1,5,1,1,1,4,1,4,2,1,1
"21",2,2,5,3,5,1,3,3,1,5,1,3
"22",4,2,5,4,5,2,2,1,5,3,2,4
"23",3,4,5,3,5,2,3,1,1,4,5,3
"24",2,4,2,5,1,5,3,2,5,5,2,3
"25",4,3,5,4,4,1,3,1,4,3,5,4
"26",2,1,5,3,5,2,4,5,4,3,1,4
"27",5,2,1,3,5,3,2,1,2,1,1,4
"28",4,2,3,4,2,2,4,1,5,1,1,4
"29",3,4,5,4,2,5,3,5,5,4,1,3
"30",2,4,1,3,1,5,3,1,4,2,1,3
"31",4,4,5,5,2,3,4,5,5,3,2,4
"32",1,2,5,3,1,5,2,1,3,5,2,2
"33",3,2,5,3,5,1,2,1,1,5,3,3
"34",4,5,1,5,2,5,4,2,5,3,1,5
"35",5,5,5,5,5,5,2,5,5,3,2,4
"36",4,5,2,4,2,5,3,1,5,3,1,4
"37",4,2,5,3,5,5,1,1,3,3,2,5
"38",5,2,1,4,2,5,3,1,5,1,1,4
"39",2,4,5,4,1,3,3,3,4,5,5,3
"40",4,2,5,4,1,4,2,5,5,3,1,3
"41",4,4,3,4,5,2,3,1,5,2,4,4
"42",5,4,3,4,5,5,3,5,5,2,1,3
"43",5,4,1,5,5,5,3,4,5,1,1,5
"44",2,3,5,3,2,4,1,1,4,5,2,4
"45",2,1,5,3,2,1,4,5,2,5,1,1
"46",1,2,5,5,1,2,5,2,5,5,1,4
"47",2,5,3,5,1,5,4,2,5,3,3,3
"48",2,5,1,3,1,5,3,1,1,5,5,3
"49",4,2,5,3,5,3,1,1,4,5,5,4
"50",2,2,5,3,2,3,3,1,5,5,2,3
"51",1,1,5,1,1,2,1,5,2,5,1,1
"52",5,4,1,4,5,5,2,1,5,2,1,5
"53",2,2,5,4,1,4,3,3,5,3,1,3
"54",4,4,2,4,2,5,1,1,2,3,1,4
"55",5,2,3,5,2,2,4,4,5,1,1,5
"56",4,5,3,5,2,5,2,1,4,5,4,5
"57",5,2,1,4,1,5,3,1,5,1,1,4
"58",4,4,5,3,5,5,1,2,4,3,1,3
"59",2,2,5,4,2,1,2,2,1,5,5,3
"60",4,3,1,4,1,5,4,3,5,1,1,4
"61",1,4,2,4,1,5,3,1,2,5,5,4
"62",4,3,5,1,5,3,1,4,4,3,1,2
"63",3,5,1,5,1,5,4,1,4,1,5,4
"64",4,1,5,3,2,1,3,1,1,3,1,3
"65",4,4,2,5,1,5,4,2,5,2,1,4
"66",4,5,2,4,5,5,5,5,5,1,1,3
